Country/territory of the murder,City of the murder,Location of the murder,Gender identity or expression,Sex Characteristics,Sexual Orientation,Occupation,Migrant status,Nationality,Race,Age range,Disability,TDoR period (Oct-Sept),Calendar year,Date of the incident,Time of the incident,Type of homicide/murder,Type of location of the murder,Number of perpetrators,Type of perpetrator(s),Basis for bias,Bias indicators,Source of information about the murder,Reported by,Response from local authorities,ciudad_limpia,departamento,hubo_respuesta_institucional,solo_departamento_reportado
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cordova,9.63333|-74.78333,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2018,2018,2018/08/31,,,playa / ribera / río / lago / bajo puente,,,,,LGBTIQ group,"Centro de Apoyo a las Identidades Trans & El Universal, 27.08.2018",,Cordova,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,41 a 50,,TDoR 2018,2018,2018/09/28,,asfixia / inhalación de humo / asfixia,residencia propia,,,,,LGBTIQ group,"Centro de Apoyo a las Identidades Trans & Publimetro, 28.09.2018",,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2019,2018,2018/12/28,,,,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Tulua,4.0856667|-76.1972779,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,artista / intérprete,no es migrante,Colombia,Black,,,TDoR 2019,2019,2019/01/06,,tiroteo,calle,1,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Tulua,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Barranquilla,10.9938599|-74.7926118,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,,19 a 25,,TDoR 2019,2019,2019/06/03,,apuñalamiento,calle,1,cliente de trabajo sexual,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,autor detenido,Barranquilla,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,19 a 25,,TDoR 2019,2018,2018/12/14,,,residencia propia,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,31 a 40,,TDoR 2019,2019,2019/01/01,,apuñalamiento,,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Huila,1.9290724|-76.2160521456146,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,41 a 50,,TDoR 2019,2019,2019/04/08,,asfixia / inhalación de humo / asfixia,residencia propia,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,,Huila,False,True
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bucaramanga,7.1274697|-73.1191168,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,,,TDoR 2019,2019,2019/04/21,,apuñalamiento,calle,1,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,autor detenido,Bucaramanga,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Tequendama,3.4208327|-76.5453099,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,26 a 30,,TDoR 2019,2019,2019/09/03,,atropello por vehículo,calle,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Tequendama,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cartagena,10.4265566|-75.5441671,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,,,,,,TDoR 2019,2019,2019/09/10,,,playa / ribera / río / lago / bajo puente,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Cartagena,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Buga,3.9000578|-76.302013,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2019,2018,2018/10/22,,,,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Buga,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,,,,,,TDoR 2019,2019,2019/03/14,,corte de garganta/degollamiento,residencia propia,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Medellín,6.2443382|-75.573553,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,,,,TDoR 2019,2019,2019/07/07,,apuñalamiento,calle,1,conocido/a,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Medellín,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cicuco,9.2778539|-74.643809,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,,51 a 60,,TDoR 2019,2019,2019/08/22,,paliza,calle,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,Cicuco,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Valle Del Cauca,4.3354563|-75.826515235457,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,,,TDoR 2019,2019,2019/09/28,,tiroteo,calle,,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,,,Valle del Cauca,False,True
"Sudamérica, Latinoamérica y el Caribe::Colombia",Guaduas de Cundinamarca,5.06692|-74.59499,mujer transexual,,Desconocida,trabajadorx sexual,migrante internacional,,Black,26 a 30,,TDoR 2020,2019,2019/10/10,,tiroteo,calle,1,extraño / sin relación directa,,,LGBTIQ group,IBTE,caso en investigación,Guaduas de Cundinamarca,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,,TDoR 2020,2019,2019/11/16,,otro,calle,1,conocido/a,,,LGBTIQ group,IBTE,sospechoso declarado inocente,Bogotá,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Restrepo Valle,3.822009|-76.5222535,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,41 a 50,,TDoR 2020,2019,2019/11/17,,apuñalamiento,calle,3,,,,LGBTIQ group,IBTE,caso en investigación,Restrepo Valle,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santa Marta,11.2320944|-74.1950916,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,19 a 25,,TDoR 2020,2020,2020/06/13,,apuñalamiento,residencia propia,1,pareja / amante / cónyuge,,,LGBTIQ group,IBTE,,Santa Marta,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Valledupar,10.4651733|-73.2529512,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,41 a 50,,TDoR 2020,2020,2020/07/11,,apuñalamiento,calle,1,,,,LGBTIQ group,IBTE,caso en investigación,Valledupar,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Miranda,3.2511475|-76.2291572,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,31 a 40,,TDoR 2020,2020,2020/09/24,,tiroteo,coche / furgoneta / taxi / vehículo de transporte,1,policía / militar / ejército,,,LGBTIQ group,IBTE,autor detenido,Miranda,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bucaramanga,7.1274697|-73.1191168,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,,TDoR 2020,2019,2019/10/19,,apuñalamiento,calle,1,cliente de trabajo sexual,,,LGBTIQ group,IBTE,caso en investigación,Bucaramanga,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santa Fé,9.3003834|-74.7116467,mujer transexual,,Desconocida,trabajadorx sexual,migrante internacional,,White,19 a 25,,TDoR 2020,2019,2019/12/20,,apuñalamiento,calle,1,co-worker,,,LGBTIQ group,IBTE,autor detenido,Santa Fé,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Huila,1.9290724|-76.2160521456146,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,,,,19 a 25,,TDoR 2020,2020,2020/01/18,,tiroteo,calle,2,,,,LGBTIQ group,Centro de Apoyo a las Identidades Trans,caso en investigación,,Huila,True,True
"Sudamérica, Latinoamérica y el Caribe::Colombia",Medellín,6.2443382|-75.573553,trans / transgénero,,Desconocida,,no es migrante,Colombia,,,,TDoR 2020,2020,2020/01/20,,tiroteo,playa / ribera / río / lago / bajo puente,,,,,LGBTIQ group,IBTE,caso en investigación,Medellín,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Barranquilla,10.9938599|-74.7926118,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,31 a 40,,TDoR 2020,2020,2020/04/16,,apuñalamiento,matorral / campo / pastizales / zona rural / arboleda / bosque,1,,,,LGBTIQ group,IBTE,,Barranquilla,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,31 a 40,,TDoR 2020,2020,2020/05/29,,otro,calle,multiple,médico / enfermera / proveedor de atención médica,,,LGBTIQ group,IBTE,,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Buga,3.9000578|-76.302013,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,empleado / funcionario público / empleado,no es migrante,Colombia,White,19 a 25,,TDoR 2020,2020,2020/08/04,,paliza,otro,,,,,LGBTIQ group,IBTE,sospechoso identificado,Buga,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santa Marta,11.2320944|-74.1950916,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,migrante internacional,Venezuela,Black,,,TDoR 2020,2020,2020/08/19,,tiroteo,autopista / circunvalación / carretera,1,cliente de trabajo sexual,,,LGBTIQ group,IBTE,,Santa Marta,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Copacabana,6.3461047|-75.5080262,trans / transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,,19 a 25,,TDoR 2020,2020,2020/09/08,,tiroteo,autopista / circunvalación / carretera,,,,,LGBTIQ group,IBTE,caso en investigación,Copacabana,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,19 a 25,,TDoR 2020,2020,2020/01/09,,apuñalamiento,calle,1,extraño / sin relación directa,,,LGBTIQ group,IBTE,,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Barranquilla,10.9938599|-74.7926118,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,White,26 a 30,,TDoR 2020,2020,2020/06/14,,apuñalamiento,calle,1,,,,LGBTIQ group,IBTE,caso en investigación,Barranquilla,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Medellín,6.2443382|-75.573553,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,19 a 25,,TDoR 2020,2020,2020/06/28,,apuñalamiento,otro,1,,,,LGBTIQ group,IBTE,caso en investigación,Medellín,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Medellín,6.2443382|-75.573553,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,,,,TDoR 2020,2020,2020/07/06,,apuñalamiento,calle,multiple,,,,LGBTIQ group,IBTE,sospechoso identificado,Medellín,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Circasia,0.6694512|-76.465633,hombre trans / trans masculino / hombre transgénero,,Desconocida,,no es migrante,Colombia,Black,19 a 25,,TDoR 2020,2020,2020/07/04,,tiroteo,matorral / campo / pastizales / zona rural / arboleda / bosque,1,,,,LGBTIQ group,IBTE,caso desestimado,Circasia,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,vendedor / comerciante,no es migrante,Colombia,White,41 a 50,,TDoR 2021,2020,2020/12/02,,tiroteo,residencia propia,1,,,,LGBTIQ group,IBTE,caso en investigación,Cali,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Sincelejo,9.2973386|-75.3926601,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,31 a 40,,TDoR 2021,2021,2021/02/06,,apuñalamiento,calle,1,vecino/a,,,LGBTIQ group,IBTE,otro,Sincelejo,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Yumbo,3.5834664|-76.4952223,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,,,TDoR 2021,2021,2021/02/15,,tiroteo,peluquería / salón de belleza,,,,,LGBTIQ group,IBTE,caso en investigación,Yumbo,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Magangué,9.2412097|-74.7567413,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,41 a 50,,TDoR 2021,2021,2021/05/23,,apuñalamiento,calle,1,extraño / sin relación directa,,,LGBTIQ group,IBTE,caso en investigación,Magangué,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,White,,,TDoR 2021,2021,2021/06/10,,,residencia propia,,,,,LGBTIQ group,IBTE,caso en investigación,Bogotá,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Medellín,6.2443382|-75.573553,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,White,19 a 25,,TDoR 2021,2021,2021/07/05,,tiroteo,calle,,,,,LGBTIQ group,IBTE & Centro de Apoyo a las Identidades Trans,caso en investigación,Medellín,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bolívar,5.9899805|-73.770548,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,26 a 30,,TDoR 2021,2020,2020/10/04,,apuñalamiento,calle,,,,,LGBTIQ group,Trans Lives Matter,,,Bolívar,False,True
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogotá,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,White,,,TDoR 2021,2021,2021/01/28,,apuñalamiento,calle,,,,,LGBTIQ group,IBTE,caso en investigación,Bogotá,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,,,TDoR 2021,2021,2021/02/06,,apuñalamiento,calle,,,,,LGBTIQ group,IBTE,caso en investigación,Cali,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Calarcá,4.5305516|-75.6406048,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,31 a 40,,TDoR 2021,2021,2021/02/12,,apuñalamiento,calle,,,,,LGBTIQ group,IBTE,caso en investigación,Calarcá,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2021,2021,2021/04/13,,otro,calle,,,,,LGBTIQ group,IBTE,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Magdalena,6.299524|-75.218414,mujer transexual,,Desconocida,,no es migrante,Colombia,Black,41 a 50,,TDoR 2021,2021,2021/04/15,,tiroteo,,2,,,,LGBTIQ group,IBTE & Centro de Apoyo a las Identidades Trans,caso en investigación,,Magdalena,True,True
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogota,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,Black,,,TDoR 2021,2021,2021/05/17,,apuñalamiento,calle,,,,,LGBTIQ group,IBTE,,Bogotá,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Pelaya,8.6857187|-73.6690054,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,,TDoR 2021,2021,2021/05/29,,tiroteo,calle,1,extraño / sin relación directa,,,LGBTIQ group,IBTE,caso en investigación,Pelaya,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",El Copey,10.1492075|-73.9611708,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,Black,26 a 30,,TDoR 2021,2021,2021/06/08,,apuñalamiento,calle,1,extraño / sin relación directa,,,LGBTIQ group,IBTE,caso en investigación,El Copey,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Tunja,5.5324313|-73.3616014,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,migrante internacional,Venezuela,White,,,TDoR 2021,2021,2021/06/28,,estrangulamiento / ahorcamiento,otro,,,,,LGBTIQ group,IBTE,caso en investigación,Tunja,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Rio Negro,2.211275|-76.546335,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2021,2021,2021/07/06,,,playa / ribera / río / lago / bajo puente,,,,,LGBTIQ group,IBTE & Centro de Apoyo a las Identidades Trans,caso en investigación,Rio Negro,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Cali,3.4519988|-76.5325259,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,White,,,TDoR 2021,2021,2021/08/15,,otro,,,,,,LGBTIQ group,IBTE,,Cali,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Doradal,5.8994679|-74.7340584,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,White,,,TDoR 2021,2021,2021/08/15,,apuñalamiento,calle,1,,,,LGBTIQ group,IBTE,caso en investigación,Doradal,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Ipiales,0.8236934|-77.6349296,trans / transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2021,2020,2020/12/30,,apuñalamiento,,,,,,LGBTIQ group,IBTE,caso desestimado,Ipiales,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Mariquita,5.1974195|-74.8939527,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,White,,,TDoR 2021,2021,2021/01/02,,tiroteo,calle,,,,,LGBTIQ group,IBTE,caso en investigación,Mariquita,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Buga,3.9000578|-76.302013,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,19 a 25,,TDoR 2021,2021,2021/03/28,,apuñalamiento,otro,,,,,LGBTIQ group,IBTE & Centro de Apoyo a las Identidades Trans,caso en investigación,Buga,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Jamundí,3.2618357|-76.5407975,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,White,,,TDoR 2021,2021,2021/05/26,,,calle,,,,,LGBTIQ group,IBTE,,Jamundí,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Chinchiná,4.9830232|-75.6054129,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,White,19 a 25,,TDoR 2021,2021,2021/06/19,,apuñalamiento,otro,1,extraño / sin relación directa,,,LGBTIQ group,IBTE,caso en investigación,Chinchiná,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Rozo,4.7929923|-74.1249841,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2021,2021,2021/08/15,,otro,,,,,,LGBTIQ group,IBTE,,Rozo,,False,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Manizales,5.0668907|-75.5066661,trans / transgénero,,Desconocida,trabajadorx sexual,no es migrante,Colombia,White,,,TDoR 2022,2021,2021/10/10,,,hotel / motel / autocine,1,cliente de trabajo sexual,trabajo sexual,,social media,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Manizales,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Armenia, Quindío",4.536307|-75.6723751,trans / transgénero,,Desconocida,,no es migrante,Colombia,Black,41 a 50,,TDoR 2022,2022,2022/02/16,,apuñalamiento,calle,,,otro,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Armenia,Quindío,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bucaramanga, Santander",7.1274697|-73.1191168,trans / transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,White,41 a 50,,TDoR 2022,2022,2022/03/11,,apuñalamiento,peluquería / salón de belleza,1,,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Bucaramanga,Santander,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Santander de Quilichao,3.0075752|-76.4856531,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2022,2021,2021/10/06,,apuñalamiento,calle,,,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Santander de Quilichao,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Segovia, Antioquia",7.081679|-74.7009089,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,White,26 a 30,,TDoR 2022,2021,2021/11/28,,tiroteo,calle,1,extraño / sin relación directa,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Segovia,Antioquia,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Santa Marta, Magdalena",11.2320944|-74.1950916,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,,,TDoR 2022,2021,2021/12/07,,tiroteo,residencia propia,1,organised hate group / gang,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Santa Marta,Magdalena,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Riohacha, La Guajira",11.5449387|-72.9150522,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,migrante internacional,Venezuela,Black,,,TDoR 2022,2021,2021/12/07,,apuñalamiento,calle,1,,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Riohacha,La Guajira,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Tunja,5.5324313|-73.3616014,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,,,,TDoR 2022,2022,2022/01/01,,tortura,autopista / circunvalación / carretera,3,extraño / sin relación directa,identidad de género / expresión de género,diferencias entre sospechoso y víctima,press,,autor sentenciado,Tunja,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia",Bogota,4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,peluquería / estilista / esteticista,no es migrante,Colombia,,,,TDoR 2022,2022,2022/01/01,,estrangulamiento / ahorcamiento,residencia propia,,,,,press,,caso en investigación,Bogotá,,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Ibagué, Tolima",4.4386033|-75.2108857,trans / transgénero,,Desconocida,trabajadorx sexual,migrante internacional,Venezuela,Black,26 a 30,,TDoR 2022,2022,2022/02/06,,apuñalamiento,lugar de trabajo sexual o cerca,1,cliente de trabajo sexual,trabajo sexual,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,autor detenido,Ibagué,Tolima,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Manizales, Caldas",5.0668907|-75.5066661,trans / transgénero,,Desconocida,trabajadorx sexual,migrante internacional,Venezuela,White,,,TDoR 2022,2022,2022/02/19,,apuñalamiento,residencia propia,,,trabajo sexual,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Manizales,Caldas,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Puerto Tejada, Cauca",3.2288972|-76.4192267,trans / transgénero,,Desconocida,,no es migrante,Colombia,Black,19 a 25,,TDoR 2022,2022,2022/02/20,,tiroteo,calle,,,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Puerto Tejada,Cauca,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Santa Elena, Valle del Cauca",3.6585218|-76.2460289,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,artista / intérprete,no es migrante,Colombia,White,,,TDoR 2022,2022,2022/04/22,,,calle,,,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Santa Elena,Valle del Cauca,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Santa Rosa de Cabal, Risaralda",4.8650708|-75.6211554,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,otro,no es migrante,Colombia,,41 a 50,,TDoR 2022,2022,2022/05/07,,apuñalamiento,calle,1,,otro,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,Santa Rosa de Cabal,Risaralda,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","El Banco, Magdalena",9.0049173|-73.9738472,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,19 a 25,,TDoR 2022,2022,2022/06/04,,tiroteo,matorral / campo / pastizales / zona rural / arboleda / bosque,,,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,caso en investigación,El Banco,Magdalena,True,False
"Sudamérica, Latinoamérica y el Caribe::Colombia","Bogotá, Distrito Capital",4.6533874|-74.0836332,mujer trans / trans femenina / trans femme / mujer transgénero,,Desconocida,,no es migrante,Colombia,Black,31 a 40,,TDoR 2022,2022,2022/08/19,,tiroteo,calle,1,extraño / sin relación directa,,,press,Rede Trans Brasil / Observatório Trans / Projeto Travessia,autor detenido,Bogotá,Distrito Capital,True,False
